alpha_cc,alpha_Ia,g_cc,g_ratio,reduced_chi2
0.5,0.3,0.3,2.4,0.005084127977041264
0.2,0.9,0.4,2.4,0.0050923531610076005
0.3,0.6,0.4,2.4,0.005103160756150596
0.8,0.3,0.4,2.2,0.0051114389568866336
0.4,0.3,0.4,2.2,0.005125465010559691
0.7,0.2,0.4,1.6,0.005131026066432915
0.5,0.9,0.6,1.0,0.005133312736923137
0.2,0.2,0.4,1.4,0.005133776014335751
0.7,0.2,0.6,1.2,0.005133828209910986
0.8,0.1,0.6,1.2,0.005177625807191274
0.1,0.7,0.3,2.0,0.005179110241008676
0.4,0.7,0.4,1.8,0.0051852913424750785
0.2,0.5,0.3,2.0,0.005203084895150336
0.1,0.9,0.4,1.4,0.005227078715458053
0.3,0.8,0.5,1.6,0.0052290623145111
0.5,0.6,0.4,2.4,0.005229223302879402
0.4,0.6,0.4,1.6,0.005235660553889195
0.4,0.8,0.4,2.2,0.005256805602573295
0.1,0.8,0.4,1.4,0.005260910293944898
0.3,0.3,0.4,2.0,0.005264630040444718
0.8,0.2,0.4,2.4,0.005271781967550169
0.2,0.2,0.3,2.8,0.005283169219322317
0.9,0.2,0.4,2.4,0.005291691365190459
0.6,0.3,0.4,1.6,0.005306659400038271
0.6,0.2,0.5,1.6,0.0053253028227116216
0.5,0.2,0.4,2.2,0.005338727821514415
0.2,0.5,0.4,2.0,0.005348071940958263
0.2,0.9,0.3,2.8,0.005350950836706497
0.5,0.3,0.4,1.4,0.0053539426748961845
0.7,0.3,0.5,1.2,0.005382084847034799
0.2,0.9,0.5,1.0,0.005393655194647594
0.5,0.9,0.6,1.2,0.0054451350304934795
0.8,0.3,0.4,2.4,0.005458731955788234
0.3,0.2,0.3,1.8,0.00545979641475814
